orth: : 0.0, 0/1
orth: 26 missing or incorrect use of apostrophes : 0.25, 1/4
ommi: incomplete_phrase : 0.29, 2/7
orth: 07 sep instead of tog: other cases : 0.38, 3/8
orth: 10 missing or unnecessary hyphen : 0.46, 6/13
infl: others : 0.47, 23/49
orth: 09 tog instead of sep: other cases : 0.47, 85/181
corr: incorrect_preposition_(other_complements) : 0.5, 1/2
infl: weak_instead_of_strong : 0.5, 1/2
orth: 06 sep instead of tog: compounds : 0.5, 2/4
corr: number : 0.53, 89/169
orth: 27 abbreviations : 0.54, 43/79
corr: case : 0.54, 164/301
corr: unknown : 0.56, 18/32
orth: 12 omissions: of a vowel: (i) instead of (ie) : 0.58, 31/53
infl: comparision : 0.6, 6/10
orth: 13 omissions: of graphemecluster : 0.62, 10/16
orth: 24 transpositions: of (ss) and (ß) : 0.62, 35/56
orth: 03 cap instead of lcp : 0.63, 693/1092
orth: 04 lcp/cap behind punctuation marks : 0.64, 61/96
orth: 11 omissions: of double consonants : 0.64, 695/1086
corr: inflection_paradigm : 0.65, 55/84
orth: 23 transpositions: of consonants: other cases : 0.65, 125/193
orth: 08 tog instead of sep: minimal phraseologism : 0.66, 226/345
corr: incorrect_preposition_(po) : 0.67, 12/18
orth: 14 omissions: of one grapheme : 0.68, 212/311
orth: 01 lcp instead of cap: polite form : 0.69, 27/39
orth: 19 transpositions: of (e/ä) / (ä/e) : 0.69, 33/48
orth: 02 lcp instead of cap: other cases : 0.69, 717/1044
orth: 18 transpositions: of vowels : 0.7, 35/50
orth: 16 insertions: of a vowel: (ie) instead of (i) : 0.7, 46/66
orth: 15 insertions: of double consonants : 0.72, 212/293
orth: 28 Eigennamen : 0.72, 212/294
corr: gender : 0.73, 114/156
orth: 17 insertions: other cases : 0.74, 74/100
corr: incorrect_adjunctor : 0.79, 11/14
orth: 22 transpositions: of consonants: Fortis/Lenis : 0.79, 95/120
orth: Unknown : 0.8, 8/10
orth: 21 transpositions: of vowel and umlaut : 0.83, 83/100
infl: strong_instead_of_weak : 0.87, 27/31
corr: other : 0.92, 12/13
orth: 20 transpositions: of (i/e) / (e/i) : 1.0, 1/1
orth: 25 incorrect positioning of two graphemes : 1.0, 4/4
